track_id,avg_speed,max_speed,direction_change_rate,dwell_time,size_var,anomaly_flag,anomaly_score
366,811.5093241356373,2555.124054149986,1.0735282115823217,0.4666666666666667,0.1673505760641882,-1,-0.2333790606430416
1,52.68954628224129,1303.899825092872,0.34386736501166787,22.866666666666667,1.0931993438821748,-1,-0.19122535080700265
146,63.16194299729063,407.07732123024454,0.3267291491686853,22.266666666666666,0.9288115527207638,-1,-0.11679711501245171
54,102.15215255309599,897.2706801565206,0.34594514054401176,13.266666666666667,0.5807355096869438,-1,-0.09566528738806712
15,58.88464989663618,318.7931264210277,0.4611895271653371,21.933333333333334,0.8505679849039819,-1,-0.09079969711378466
4,39.987558986452235,309.32120699868545,0.5664499629057017,19.733333333333334,0.5499797592445456,-1,-0.08475352951167059
203,145.27574050343506,1421.8281711057787,0.30507545778314515,3.066666666666667,0.2689014114662976,-1,-0.04606453784416775
329,226.13914300056172,815.1249989544189,0.4650606989456881,0.5333333333333333,0.10850620381475612,-1,-0.041155289275742746
2,98.68246919596146,326.4789686385224,0.2707661822485727,9.2,0.4737659334972515,-1,-0.03722065968360877
47,144.43298009632088,1352.0354770587765,0.594513755545957,1.6,0.2748974522905944,-1,-0.03307267240478351
103,184.26511395032836,341.6124588992515,0.5119397200095854,0.2,0.3765888059968987,-1,-0.00621132110214595
332,140.54983365543563,695.2278286460337,0.48908398830548655,5.8,0.27312725995797854,1,0.006211321102146061
342,83.19956201265121,727.9461946135727,0.3040375153346997,3.0,0.08984602427229808,1,0.03629565315588262
190,39.89631550601301,48.1724010161802,2.493449058215466,0.2,0.04801133075516207,1,0.04114913708178325
308,164.6137575636455,251.24434904248534,1.4076651188306732,0.2,0.12358267538500962,1,0.044631232670275744
304,14.11953657363194,292.6433411485589,1.0407527826126628,7.866666666666666,0.1397975494888477,1,0.046302335349349244
220,120.52977817665796,195.7553524679419,0.18351420141666874,0.2,0.199839249355762,1,0.04721447086369962
6,6.989106070877459,34.226049793209384,1.182849020873733,8.266666666666667,0.06356972618849231,1,0.04783626161568255
157,16.107985345992947,18.783653119641766,0.11167482467091516,0.2,0.013249137314690648,1,0.049071277760631304
9,23.298987528652432,183.34299146998563,1.4528742251216986,9.733333333333333,0.06681795420541123,1,0.05224416632658224
283,14.519885850706789,198.4198184809101,1.4860202189140428,8.333333333333334,0.15630549588094628,1,0.05417432085702323
109,24.045077720693882,33.73320484495104,2.471206235750019,0.4,0.034461655208175554,1,0.05419078357463303
317,137.26612985213697,463.24954024258113,0.5359348983074643,2.6,0.18087018422561194,1,0.05944627001897712
3,22.796228559329663,384.8842339763837,1.5335629115458682,4.066666666666666,0.14476576101713146,1,0.06410148284291783
390,20.28776299819588,23.320090684303075,2.3742252711779863,0.2,0.031144335005208593,1,0.06702632958356103
133,126.22151123971442,178.82140919435187,0.8615951328715594,0.26666666666666666,0.2151585767219503,1,0.07451229921197217
81,48.26388434460129,431.0056376000172,1.1048422508506457,2.3333333333333335,0.09082995140521183,1,0.0791559774628991
394,4.9379602352154315,6.878620281278472,1.4166770161319817,0.4,0.010737248658022365,1,0.08864862206779439
212,13.348640152565514,71.75200529450572,1.2540459329267462,7.666666666666667,0.057608895043465905,1,0.08926368902771353
